,key,city,country,population,latitude,longitude
111,3553478,Havana,CU,2163824,23.13302,-82.38304
112,3374333,Praia,CV,113364,14.93152,-23.51254
113,3068160,Pilsen,CZ,164180,49.74747,13.37759
114,2825297,Stuttgart,DE,589793,48.78232,9.17702
115,2904795,Hilden,DE,56565,51.16818,6.93093
116,2911298,Hamburg,DE,1739117,53.57532,10.01534
117,2934691,Duisburg,DE,504358,51.43247,6.76516
118,2946447,Bonn,DE,313125,50.73438,7.09549
119,2950159,Berlin,DE,3426354,52.52437,13.41053
120,2618425,Copenhagen,DK,1153615,55.67594,12.56553
121,3494121,Quisqueya,DO,17694,18.55542,-69.40814
122,3652462,Quito,EC,1399814,-0.22985,-78.52495
123,3652941,Portoviejo,EC,170326,-1.05458,-80.45445
124,3655131,La Libertad,EC,75881,-2.233,-80.91039
125,359792,Aswan,EG,241261,24.09082,32.89942
126,361058,Alexandria,EG,3811516,31.20176,29.91582
127,2513416,Murcia,ES,436870,37.98704,-1.13004
128,1710389,Jaen,PH,39700,15.3275,120.9192
129,3123773,Durango,ES,28229,43.17124,-2.6338
130,3128760,Barcelona,ES,1621537,41.38879,2.15899
131,3128760,Barcelona,ES,1621537,41.38879,2.15899
132,3128760,Barcelona,ES,1621537,41.38879,2.15899
133,344979,Addis Ababa,ET,2757729,9.02497,38.74689
134,2198148,Suva,FJ,77366,-18.14161,178.44149
135,2202064,Nadi,FJ,42284,-17.80309,177.41617
136,2204582,Labasa,FJ,27949,-16.4332,179.36451
137,2973783,Strasbourg,FR,274845,48.58392,7.74553
138,2988507,Paris,FR,2138551,48.85341,2.3488
139,2992166,Montpellier,FR,248252,43.61092,3.87723
140,2996944,Lyon,FR,472317,45.74846,4.84671
141,3014728,Grenoble,FR,158552,45.17869,5.71479
142,3018074,Fontainebleau,FR,19717,48.40908,2.70177
143,3033791,Belfort,FR,54562,47.64218,6.85385
144,2399697,Libreville,GA,578156,0.39241,9.45356
145,2179537,Wellington,NZ,381900,-41.28664,174.77557
146,4843564,Stamford,US,128874,41.05343,-73.53873
147,2637487,Southampton,GB,246201,50.90395,-1.40428
148,5134086,Rochester,US,209802,43.15478,-77.61556
149,5134086,Rochester,US,209802,43.15478,-77.61556
150,2640729,Oxford,GB,171380,51.75222,-1.25596
151,2643044,Margate,GB,60134,51.38132,1.38617
152,2643123,Manchester,GB,395515,53.48095,-2.23743
153,2646458,Huddersfield,GB,149017,53.64904,-1.78416
154,4762894,Hampton,US,136454,37.02987,-76.34522
155,2648579,Glasgow,GB,591620,55.86515,-4.25763
156,4992982,Flint,US,98310,43.01253,-83.68746
157,2650225,Edinburgh,GB,464990,55.95206,-3.19648
158,2650225,Edinburgh,GB,464990,55.95206,-3.19648
159,4464368,Durham,US,257636,35.99403,-78.89862
160,2654675,Bristol,GB,617280,51.45523,-2.59665
161,4930956,Boston,US,667137,42.35843,-71.05977
162,2655603,Birmingham,GB,984333,52.48142,-1.89983
163,2655603,Birmingham,GB,984333,52.48142,-1.89983
164,2656046,Bedford,GB,106940,52.13459,-0.46632
165,2656046,Bedford,GB,106940,52.13459,-0.46632
166,611717,Tbilisi,GE,1049498,41.69411,44.83368
167,264371,Athens,GR,664046,37.98376,23.72784
168,3590389,San Benito,GT,30764,16.91675,-89.91898
169,3598132,Guatemala City,GT,994938,14.64072,-90.51327
170,1819729,Hong Kong,HK,7012738,22.27832,114.17469
171,3600949,Tegucigalpa,HN,850848,14.0818,-87.20681
172,5392952,Santa Barbara,US,91842,34.42083,-119.69819
173,1621177,Yogyakarta,ID,636660,-7.80139,110.36472
174,1626921,Sengkang,ID,59523,-4.1279,120.0297
175,1631761,Pekanbaru,ID,703956,0.51667,101.44167
176,1642911,Jakarta,ID,8540121,-6.21462,106.84513
177,1645133,Dumai,ID,143760,1.66711,101.44316
178,2964405,Ennis,IE,24427,52.84361,-8.98639
179,2964574,Dublin,IE,1024027,53.33306,-6.24889
180,281184,Jerusalem,IL,801000,31.76904,35.21633
181,1257629,Salem,IN,778396,11.65376,78.15538
182,1259229,Pune,IN,2935744,18.51957,73.85535
183,1259425,Puducherry,IN,227411,11.93381,79.82979
184,1261481,New Delhi,IN,317797,28.63576,77.22445
185,1264527,Chennai,IN,4328063,13.08784,80.27847
186,1265873,Kozhikode,IN,439922,11.24802,75.7804
187,1269843,Hyderabad,IN,3597816,17.38405,78.45636
188,1273294,Delhi,IN,10927986,28.65195,77.23149
189,1275339,Mumbai,IN,12691836,19.07283,72.88261
190,1276686,Baud,IN,18945,20.83773,84.32618
191,6954929,Greater Noida,IN,293908,28.49615,77.53601
192,112931,Tehran,IR,7153309,35.69439,51.42151
193,3169070,Rome,IT,2318895,41.89193,12.51133
194,3172394,Naples,IT,959470,40.85216,14.26811
195,3176959,Florence,IT,349296,43.77925,11.24626
196,3489297,New Kingston,JM,583958,18.00747,-76.78319
197,1848354,Yokohama,JP,3574443,35.43333,139.65
198,1850147,Tokyo,JP,8336599,35.6895,139.69171
199,1859171,Kobe,JP,1528478,34.6913,135.183
200,2112923,Fukushima,JP,294237,37.75,140.46667
201,186315,Molo,KE,27896,-0.24849,35.73194
202,1821306,Phnom Penh,KH,1573544,11.56245,104.91601
203,1831133,Kampong Speu,KH,33231,11.45332,104.52085
204,1831173,Kampong Cham,KH,61750,11.99339,105.4635
205,1871859,Pyongyang,KP,3222000,39.03385,125.75432
206,1835848,Seoul,KR,10349312,37.566,126.9784
207,4469160,Greenville,US,90597,35.61266,-77.36635
208,4469160,Greenville,US,90597,35.61266,-77.36635
209,2530335,Tangier,MA,688356,35.76727,-5.79975
210,2113779,Majuro,MH,25400,7.08971,171.38027
211,1298824,Yangon,MM,4477638,16.80528,96.15611
212,1311874,Mandalay,MM,1208099,21.97473,96.08359
213,1325211,Hinthada,MM,134947,17.64944,95.45705
214,3514783,Veracruz,MX,428323,19.18095,-96.1429
215,3520339,Reynosa,MX,589466,26.08061,-98.28835
216,3522507,Oaxaca,MX,255029,17.06542,-96.72365
217,3522551,Nuevo Laredo,MX,373725,27.47629,-99.51639
218,3530597,Mexico City,MX,12294193,19.42847,-99.12766
219,3996069,Mexicali,MX,689775,32.62781,-115.45446
220,109223,Medina,SA,1300000,24.46861,39.61417
221,5369568,Madera,US,64208,36.96134,-120.06072
222,4022735,Hidalgo,MX,16524,25.97205,-100.45029
223,1732752,Johor Bahru,MY,802489,1.4655,103.7578
224,1732905,Klang,MY,879867,3.03667,101.44333
225,1733432,Kota Kinabalu,MY,457326,5.9749,116.0724
226,1735158,Petaling Jaya,MY,520698,3.10726,101.60671
227,1735161,Kuala Lumpur,MY,1453975,3.1412,101.68653
228,1735634,Kuching,MY,570407,1.55,110.33333
229,1735902,Sibu,MY,198239,2.3,111.81667
230,1738050,Miri,MY,228212,4.39928,113.99163
231,2332459,Lagos,NG,9000000,6.45407,3.39467
232,2339354,Ibadan,NG,3565108,7.37756,3.90591
233,2339354,Ibadan,NG,3565108,7.37756,3.90591
234,2352778,Abuja,NG,590400,9.05785,7.49508
235,3617723,Masaya,NI,130113,11.97444,-86.09417
236,3617763,Managua,NI,973087,12.13282,-86.2504
237,2747891,Rotterdam,NL,598199,51.9225,4.47917
238,4696233,Harlingen,US,65774,26.19063,-97.6961
239,1283240,Kathmandu,NP,1442271,27.70169,85.3206
240,2193733,Auckland,NZ,417910,-36.84853,174.76349
241,287286,Muscat,OM,797000,23.58413,58.40778
242,3700563,Tocumen,PA,50844,9.08939,-79.3831
243,3706567,Las Cumbres,PA,69102,9.08916,-79.52809
244,3690654,Yurimaguas,PE,41827,-5.90181,-76.12234
245,4705349,Laredo,US,255473,27.50641,-99.50754
246,3696183,Iquitos,PE,437620,-3.74912,-73.25383
247,3936456,Lima,PE,7737002,-12.04318,-77.02824
248,3938396,Imperial,PE,32344,-13.05927,-76.35269
249,4033936,Papeete,PF,26357,-17.53733,-149.5665
250,1679432,Zamboanga,PH,457623,6.91028,122.07389
251,1689056,San Mateo,PH,134327,14.6982,121.1236
252,1691606,Rizal,PH,26201,15.7118,121.1061
253,1692192,Quezon City,PH,2761720,14.6488,121.0509
254,1692214,Quezon,PH,27212,7.73028,125.09889
255,1701668,Manila,PH,1600000,14.6042,120.9822
256,1701966,Mandaluyong City,PH,305576,14.5832,121.0409
