key,city,country,population,latitude,longitude,clusters
3558771,Florida,CU,63007,21.52536,-78.22579,4
4889447,Darien,US,22256,41.751979999999996,-87.97395,4
3687025,Caucasia,CO,58034,7.98654,-75.19349,16
3688928,Bello,CO,392939,6.33732,-75.55795,16
3689147,Barranquilla,CO,1380425,10.968539999999999,-74.78132,16
5392171,San Jose,US,1026908,37.33939,-121.89496000000001,3
5392171,San Jose,US,1026908,37.33939,-121.89496000000001,3
5391811,San Diego,US,1394928,32.715709999999994,-117.16471999999999,3
3553478,Havana,CU,2163824,23.133020000000002,-82.38304000000001,4
3374333,Praia,CV,113364,14.93152,-23.512539999999998,-1
3068160,Pilsen,CZ,164180,49.74747,13.37759,-1
2825297,Stuttgart,DE,589793,48.78232,9.177019999999999,13
2904795,Hilden,DE,56565,51.16818,6.93093,13
2911298,Hamburg,DE,1739117,53.57532,10.01534,-1
2934691,Duisburg,DE,504358,51.43247,6.765160000000001,13
2946447,Bonn,DE,313125,50.73438,7.09549,13
2950159,Berlin,DE,3426354,52.52437,13.41053,-1
2618425,Copenhagen,DK,1153615,55.675940000000004,12.56553,-1
3494121,Quisqueya,DO,17694,18.55542,-69.40814,-1
3652462,Quito,EC,1399814,-0.22985,-78.52495,1
3652941,Portoviejo,EC,170326,-1.0545799999999999,-80.45445,1
3655131,La Libertad,EC,75881,-2.233,-80.91039,1
359792,Aswan,EG,241261,24.09082,32.89942,-1
361058,Alexandria,EG,3811516,31.201759999999997,29.91582,-1
2513416,Murcia,ES,436870,37.98704,-1.13004,-1
1710389,Jaen,PH,39700,15.3275,120.9192,2
3123773,Durango,ES,28229,43.171240000000004,-2.6338,-1
3128760,Barcelona,ES,1621537,41.38879,2.15899,18
3128760,Barcelona,ES,1621537,41.38879,2.15899,18
3128760,Barcelona,ES,1621537,41.38879,2.15899,18
344979,Addis Ababa,ET,2757729,9.02497,38.74689,-1
2198148,Suva,FJ,77366,-18.14161,178.44149,19
2202064,Nadi,FJ,42284,-17.80309,177.41617,19
2204582,Labasa,FJ,27949,-16.4332,179.36451,19
2973783,Strasbourg,FR,274845,48.58392,7.7455300000000005,13
2988507,Paris,FR,2138551,48.85341,2.3488,-1
